file	line	call_type	symbol	proof_level
src/lib/tauriClient.ts	488	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	495	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	502	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	509	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	516	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	523	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	530	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	537	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	544	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	551	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	558	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	565	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	572	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	579	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	586	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	593	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	600	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	607	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	614	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	621	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	628	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	635	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	642	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	649	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	656	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	663	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	670	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	677	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	684	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	691	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	698	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	705	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	712	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	719	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	726	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	733	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	740	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	747	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	754	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	761	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	768	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	775	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	782	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	789	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	796	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	803	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	810	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/lib/tauriClient.ts	817	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
